,trained_on,tested_on,acc
0,"['DoS', 'Normal']",DoS,0.9994338750839233
1,"['DoS', 'Normal']",Probe,0.35629719495773315
2,"['DoS', 'Normal']",U2R,0.0
3,"['DoS', 'Normal']",R2L,0.023115577176213264
4,"['Probe', 'Normal']",DoS,0.836087703704834
5,"['Probe', 'Normal']",Probe,0.9915065169334412
6,"['Probe', 'Normal']",U2R,0.0
7,"['Probe', 'Normal']",R2L,0.005025125574320555
8,"['U2R', 'Normal']",DoS,0.0
9,"['U2R', 'Normal']",Probe,0.0
10,"['U2R', 'Normal']",U2R,0.0
11,"['U2R', 'Normal']",R2L,0.0
12,"['R2L', 'Normal']",DoS,0.7308119535446167
13,"['R2L', 'Normal']",Probe,0.20547357201576233
14,"['R2L', 'Normal']",U2R,0.26923078298568726
15,"['R2L', 'Normal']",R2L,0.8653266429901123
16,"['DoS', 'Probe', 'Normal']",DoS,0.9991726279258728
17,"['DoS', 'Probe', 'Normal']",Probe,0.9917638897895813
18,"['DoS', 'Probe', 'Normal']",U2R,0.5384615659713745
19,"['DoS', 'Probe', 'Normal']",R2L,0.10653266310691833
20,"['DoS', 'U2R', 'Normal']",DoS,0.9992161393165588
21,"['DoS', 'U2R', 'Normal']",Probe,0.35981467366218567
22,"['DoS', 'U2R', 'Normal']",U2R,0.5769230723381042
23,"['DoS', 'U2R', 'Normal']",R2L,0.02512562833726406
24,"['DoS', 'R2L', 'Normal']",DoS,0.9992814660072327
25,"['DoS', 'R2L', 'Normal']",Probe,0.3282429575920105
26,"['DoS', 'R2L', 'Normal']",U2R,0.11538461595773697
27,"['DoS', 'R2L', 'Normal']",R2L,0.8924623131752014
28,"['Probe', 'U2R', 'Normal']",DoS,0.8394190669059753
29,"['Probe', 'U2R', 'Normal']",Probe,0.9896190762519836
30,"['Probe', 'U2R', 'Normal']",U2R,0.38461539149284363
31,"['Probe', 'U2R', 'Normal']",R2L,0.007035175804048777
32,"['Probe', 'R2L', 'Normal']",DoS,0.8379166722297668
33,"['Probe', 'R2L', 'Normal']",Probe,0.9888469576835632
34,"['Probe', 'R2L', 'Normal']",U2R,0.057692307978868484
35,"['Probe', 'R2L', 'Normal']",R2L,0.5849246382713318
36,"['U2R', 'R2L', 'Normal']",DoS,0.44028568267822266
37,"['U2R', 'R2L', 'Normal']",Probe,0.08021619915962219
38,"['U2R', 'R2L', 'Normal']",U2R,0.6730769276618958
39,"['U2R', 'R2L', 'Normal']",R2L,0.8462311625480652
